customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST1000,56,Other,North,Secondary,,59117.76,26380.51,Home,729,11,23,82.94,2023-07-10 11:04:12.435108,0
CUST1001,69,Female,South,Graduate,Salaried,93300.05,25008.44,Education,733,1,28,13.22,2017-08-07 11:04:12.435108,0
CUST1002,46,Female,East,Primary,Salaried,37129.64,1989.42,Business,703,12,57,50.98,2016-08-18 11:04:12.435108,0
CUST1003,32,Female,South,Graduate,Self-Employed,68556.8,14573.26,Education,733,7,26,64.44,2024-08-31 11:04:12.435108,0
CUST1004,60,Male,South,Primary,Self-Employed,51140.26,12122.16,Business,411,8,25,84.54,2019-06-08 11:04:12.435108,0
CUST1005,25,Male,East,Primary,Salaried,55371.85,13791.52,Car,674,9,54,59.63,2019-02-05 11:04:12.435108,0
CUST1006,38,Male,South,Post-Graduate,Self-Employed,80569.37,18318.56,Other,358,9,29,74.3,2018-11-08 11:04:12.435108,0
CUST1007,56,Female,East,Post-Graduate,Self-Employed,60156.72,15279.09,Business,342,8,83,16.7,2017-11-30 11:04:12.435108,0
CUST1008,36,Male,South,Post-Graduate,Salaried,60765.92,1000.0,Home,506,9,97,40.88,2024-08-10 11:04:12.435108,0
CUST1009,40,Male,East,Graduate,,71450.15,27479.1,Education,595,6,36,39.92,2017-07-01 11:04:12.435108,0
CUST1010,28,Male,North,Secondary,,42700.95,9272.57,Car,417,8,14,80.9,2023-12-09 11:04:12.435108,1
CUST1011,28,Male,West,Primary,Self-Employed,33215.81,22392.47,Home,831,8,78,22.11,2024-08-27 11:04:12.435108,0
CUST1012,41,Female,East,Primary,Salaried,29103.82,40740.83,Car,521,2,35,22.15,2022-06-19 11:04:12.435108,0
CUST1013,53,Female,East,Primary,Self-Employed,10672.87,10806.15,Other,465,3,30,36.28,2017-04-29 11:04:12.435108,1
CUST1014,57,Female,West,Graduate,Salaried,91124.14,1000.0,Education,455,1,92,14.36,2022-12-21 11:04:12.435108,0
CUST1015,41,Male,East,Post-Graduate,Salaried,27935.83,17139.96,Education,483,9,17,24.6,2021-01-30 11:04:12.435108,1
CUST1016,20,Female,East,Secondary,Salaried,45574.93,31009.6,Other,389,2,67,87.22,2016-09-15 11:04:12.435108,0
CUST1017,39,Female,South,Graduate,Salaried,44463.73,39583.47,Education,393,10,80,44.25,2016-09-07 11:04:12.435108,0
CUST1018,19,Male,West,Post-Graduate,Unemployed,56148.13,7704.5,Business,312,10,30,60.56,2017-05-26 11:04:12.435108,0
